Mercadoria,Vencimento,Preco_Anterior,Preco_Atual,Variacao,Valor_ajuste_contrato,Data_new
AFS   - RANDE DA AFRICA DO SUL (TIPO A)                   ,K21 ,"14.230,400","14.299,500","69,100","261,01",2021-04-30
,M21 ,"14.286,200","14.361,200","75,000","283,30",2021-04-30
,N21 ,"14.350,300","14.429,800","79,500","300,29",2021-04-30
,Q21 ,"14.408,700","14.482,500","73,800","278,76",2021-04-30
,U21 ,"14.466,300","14.541,300","75,000","283,30",2021-04-30
,V21 ,"0,000","14.600,000","0,000","0,00",2021-04-30
ARB   - Peso Argertino                                    ,K21 ,"57,2740","57,1690","-0,1050","15,75",2021-04-30
,M21 ,"55,9400","55,8430","-0,0970","14,55",2021-04-30
,N21 ,"54,2140","53,9480","-0,2660","39,90",2021-04-30
,Q21 ,"52,6850","52,5330","-0,1520","22,80",2021-04-30
,U21 ,"51,2090","51,0800","-0,1290","19,35",2021-04-30
,V21 ,"0,0000","49,8000","0,0000","0,00",2021-04-30
ARS   - Peso Argertino                                    ,K21 ,"93.657,8000","93.603,2000","-54,6000","31,38",2021-04-30
,M21 ,"96.107,1000","96.034,2000","-72,9000","41,90",2021-04-30
,N21 ,"99.414,9000","99.652,1000","237,2000","136,36",2021-04-30
,Q21 ,"102.582,5000","102.620,4000","37,9000","21,78",2021-04-30
,U21 ,"105.892,8000","105.883,9000","-8,9000","5,11",2021-04-30
,V21 ,"0,0000","109.146,0000","0,0000","0,00",2021-04-30
AUD   - Dólar comercial australiano                       ,K21 ,"4.179,3160","4.161,0970","-18,2190","1.093,14",2021-04-30
,M21 ,"4.187,6180","4.170,7200","-16,8980","1.013,88",2021-04-30
,N21 ,"4.198,6580","4.181,5390","-17,1190","1.027,14",2021-04-30
,Q21 ,"4.210,8450","4.193,6410","-17,2040","1.032,24",2021-04-30
,U21 ,"4.225,4100","4.207,7890","-17,6210","1.057,26",2021-04-30
,V21 ,"0,0000","4.220,0000","0,0000","0,00",2021-04-30
AUS   - DÓLAR AUSTRALIANO (TIPO B)                        ,K21 ,"779,111","777,605","-1,506","80,64",2021-04-30
,M21 ,"778,914","777,703","-1,211","64,84",2021-04-30
,N21 ,"779,018","777,815","-1,203","64,41",2021-04-30
,Q21 ,"779,129","777,906","-1,223","65,48",2021-04-30
,U21 ,"779,214","777,991","-1,223","65,48",2021-04-30
,V21 ,"0,000","778,000","0,000","0,00",2021-04-30
B3SAO - Contrato Futuro de B3SA3                          ,K21 ,"53,71","52,65","-1,06","1,06",2021-04-30
,M21 ,"53,85","52,79","-1,06","1,06",2021-04-30
BGI   - Boi gordo                                         ,J21 ,"312,00","312,25","0,25","82,50",2021-04-30
,K21 ,"306,20","306,20","0,00","0,00",2021-04-30
,M21 ,"310,40","311,00","0,60","198,00",2021-04-30
,N21 ,"319,80","318,10","-1,70","561,00",2021-04-30
,Q21 ,"318,00","316,30","-1,70","561,00",2021-04-30
,U21 ,"327,50","325,75","-1,75","577,50",2021-04-30
,V21 ,"331,80","330,00","-1,80","594,00",2021-04-30
,X21 ,"331,85","330,05","-1,80","594,00",2021-04-30
,Z21 ,"331,85","330,05","-1,80","594,00",2021-04-30
BRI   - IBrX-50                                           ,M21 ,20.428,20.262,-166,"1.660,00",2021-04-30
,Q21 ,20.554,20.386,-168,"1.680,00",2021-04-30
CAD   - Dólar comercial canadense                         ,K21 ,"4.355,3180","4.357,2840","1,9660","117,96",2021-04-30
,M21 ,"4.365,0660","4.366,9770","1,9110","114,66",2021-04-30
,N21 ,"4.376,1730","4.377,8600","1,6870","101,22",2021-04-30
,Q21 ,"4.388,5460","4.390,2960","1,7500","105,00",2021-04-30
,U21 ,"4.403,2360","4.404,6270","1,3910","83,46",2021-04-30
,V21 ,"0,0000","4.420,0000","0,0000","0,00",2021-04-30
